time,ShortWave,Cloud,AirTemp,RelHum,Wind,Rain
2016-06-23 10:00:00,522.5999756,1,18.17998657,71.72900813,1.962371062,0
2016-06-23 11:00:00,603.8209839,1,19.70998535,71.99449969,2.122192205,0
2016-06-23 12:00:00,628.9920044,1,21.24001465,71.68485227,2.316247037,0
2016-06-23 13:00:00,659.2860107,1,22.77001343,70.91413923,2.535843036,0
2016-06-23 14:00:00,628.4349976,1,23.07000122,71.32230433,2.459674829,0
2016-06-23 15:00:00,535.7930298,1,23.36000977,71.73998447,2.379516676,0
2016-06-23 16:00:00,412.1329956,1,23.64998779,72.12332039,2.304126723,0
2016-06-23 17:00:00,280.9410095,1,22.92000732,76.27453685,2.322627824,0
2016-06-23 18:00:00,153.5480042,1,22.18999634,80.67545844,2.37059066,0.0000672
2016-06-23 19:00:00,13.96800041,1,21.46004639,85.33656737,2.45348734,0
2016-06-23 20:00:00,0,1,20.61998901,85.80746874,2.632109294,0
2016-06-23 21:00:00,0,1,19.78005371,86.11309737,2.829363967,0.0004224
2016-06-23 22:00:00,0,1,18.93999634,86.22947698,3.031451893,0.0014976
2016-06-23 23:00:00,0,1,18.64998779,87.24249008,2.815137677,0.0018624
2016-06-24 00:00:00,0,1,18.36004028,88.26685458,2.608371109,0.0004224
2016-06-24 01:00:00,0,1,18.08001099,89.24809183,2.426623131,0.0004224
2016-06-24 02:00:00,0,1,18.08001099,88.01569081,1.590628797,0.0009888
2016-06-24 03:00:00,0,1,18.08999023,86.72629108,1.562849964,0.013315199
2016-06-24 04:00:00,0,1,18.08999023,85.49496206,2.363260455,0.0103584
2016-06-24 05:00:00,0,1,18.27001343,84.86971478,1.578765301,0.0168
2016-06-24 06:00:00,29.71999931,1,18.43999634,84.3005433,0.817863081,0.0002304
2016-06-24 07:00:00,89.4240036,1,18.62005005,83.68149592,0.398246149,0.0014448
2016-06-24 08:00:00,144.447998,1,18.92000732,82.63871153,1.195031379,0
2016-06-24 09:00:00,200.0099945,1,19.2300354,81.55873835,2.319245572,0
2016-06-24 10:00:00,427.8710022,1,19.54000244,80.49374579,3.452491872,0
2016-06-24 11:00:00,494.2000122,1,20.26000366,80.08343907,3.329624654,0
2016-06-24 12:00:00,514.7089844,1,20.98000488,79.57315724,3.460057841,0
2016-06-24 13:00:00,573.0939941,1,21.7000061,78.97110542,3.822669251,0
2016-06-24 14:00:00,546.3569946,1,21.85,80.32091873,4.44038293,0
2016-06-24 15:00:00,466.0190125,1,21.99001465,81.6874406,5.095017011,0
2016-06-24 16:00:00,421.7630005,1,22.12999878,83.02614631,5.76944553,0.013056001
2016-06-24 17:00:00,288.053009,1,21.18999634,87.58732388,5.313990815,0.041644801
2016-06-24 18:00:00,158.2669983,1,20.2499939,92.43610165,4.89524267,0.0019968
2016-06-24 19:00:00,8.656000137,1,19.30999146,97.59138591,4.52518516,0
2016-06-24 20:00:00,0,1,18.11000977,99.43492429,3.761927796,0
2016-06-24 21:00:00,0,1,16.90999756,100,3.010514806,0.0042528
2016-06-24 22:00:00,0,1,15.7000061,100,2.274378973,0
2016-06-24 23:00:00,0,1,15.27001343,100,2.442662454,0
2016-06-25 00:00:00,0,1,14.83001099,100,2.615893723,0.0000192
2016-06-25 01:00:00,0,1,14.40004883,100,2.786772372,0.029971201
2016-06-25 02:00:00,0,1,14.2000061,100,2.606395904,0.0557952
2016-06-25 03:00:00,0,1,14.01000366,100,2.460508116,0
2016-06-25 04:00:00,0,1,13.82000122,100,2.355525335,0
2016-06-25 05:00:00,0,1,14.44002686,98.09177086,1.909476344,0.0002688
