time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OXY_oxy
2016-08-16,0.014333333,15.3,0,6.415037291,0.212609971,0.425631843,283.8543638,478.4933333
2016-08-17,0.014333333,15.35,0,7.342269704,0.247800587,0.496081252,292.9377034,484.9082292
2016-08-18,0.014333333,15.4,0,8.269502117,0.282991202,0.56653066,302.0210431,491.323125
2016-08-19,0.014333333,15.444,0,9.196734529,0.318181818,0.636980069,311.1043827,492.8765625
2016-08-20,0.014333333,15.488,0,10.12396694,0.353372434,0.707429477,320.1877224,494.43
2016-08-21,0.014333333,15.532,0,11.05119935,0.38856305,0.777878886,329.271062,495.9834375
2016-08-22,0.014333333,15.576,0,11.97843177,0.423753666,0.848328294,338.3544016,497.536875
2016-08-23,0.014333333,15.62,0,12.90566418,0.458944282,0.918777703,347.4377413,499.0903125
2016-08-24,0.014333333,15.66333333,0,13.83289659,0.494134897,0.989227111,356.5210809,503.255
2016-08-25,0.014333333,15.70666667,0,14.76012901,0.529325513,1.05967652,365.6044206,507.4196875
2016-08-26,0.014333333,15.75,0,15.68736142,0.564516129,1.130125928,374.6877602,511.584375
2016-08-27,0.014333333,15.78428571,0,15.34684827,0.582949309,1.167027999,342.5716665,513.7650893
2016-08-28,0.014333333,15.81857143,0,15.00633513,0.601382488,1.203930071,310.4555727,507.4554911
2016-08-29,0.014333333,15.85285714,0,14.66582198,0.619815668,1.240832142,278.339479,501.1458929
2016-08-30,0.014333333,15.88714286,0,14.32530884,0.638248848,1.277734213,246.2233853,494.8362946
2016-08-31,0.014333333,15.92142857,0,13.98479569,0.656682028,1.314636284,214.1072915,488.5266964
2016-09-01,0.014333333,15.95571429,0,13.64428255,0.675115207,1.351538355,181.9911978,482.2170982
2016-09-02,0.014333333,15.99,0,13.3037694,0.693548387,1.388440426,149.8751041,475.9075
2016-09-03,0.014333333,16.0175,0,13.58093126,0.728110599,1.45763181,149.8751041,473.7267969
2016-09-04,0.014333333,16.045,0,13.85809313,0.762672811,1.526823193,149.8751041,471.5460938
2016-09-05,0.014333333,16.0725,0,14.13525499,0.797235023,1.596014576,149.8751041,469.3653906
2016-09-06,0.014333333,16.1,0,14.41241685,0.831797235,1.66520596,149.8751041,467.1846875
2016-09-07,0.014333333,16.11333333,0,14.68957871,0.866359447,1.734397343,149.8751041,466.5959375
2016-09-08,0.014333333,16.12666667,0,14.96674058,0.900921659,1.803588726,149.8751041,466.0071875
2016-09-09,0.014333333,16.14,0,15.24390244,0.935483871,1.87278011,149.8751041,465.4184375
2016-09-10,0.014333333,16.16857143,0,14.79540415,0.957478006,1.91681099,156.6876088,455.8202679
2016-09-11,0.014333333,16.19714286,0,14.34690587,0.979472141,1.96084187,163.5001135,446.2220982
2016-09-12,0.014333333,16.22571429,0,13.89840758,1.001466276,2.004872751,170.3126183,436.6239286
2016-09-13,0.014333333,16.25428571,0,13.44990929,1.023460411,2.048903631,177.125123,427.0257589
2016-09-14,0.014333333,16.28285714,0,13.00141101,1.045454545,2.092934511,183.9376277,417.4275893
2016-09-15,0.014333333,16.31142857,0,12.55291272,1.06744868,2.136965392,190.7501325,407.8294196
2016-09-16,0.014333333,16.34,0,12.10441443,1.089442815,2.180996272,197.5626372,398.23125
2016-09-17,0.014333333,16.34,0,11.65591615,1.11143695,2.225027152,204.3751419,393.009375
2016-09-18,0.014333333,16.367,0,11.20741786,1.133431085,2.269058033,211.1876467,378.6196875
