time,ShortWave,LongWave,AirTemp,RelHum,Wind,Rain
2015-05-30 02:00:00,0,366.7399902,18.88999146,98.58278297,4.109367336,0
2015-05-30 03:00:00,0,366.75,17.78001465,97.28948391,4.152168116,0
2015-05-30 04:00:00,0,363.4599915,17.77998657,95.84285036,4.222463651,0
2015-05-30 05:00:00,0,363.4700012,17.77998535,93.78546013,4.102389602,0
2015-05-30 06:00:00,7.596000195,363.4899902,18.9001465,91.51526856,4.007056224,0
2015-05-30 07:00:00,66.09600067,362.730011,20.00999268,88.95231951,3.91920909,0.003168
2015-05-30 08:00:00,120.7679977,362.7200012,22.21999756,86.36473478,3.853894168,0.0003168
2015-05-30 09:00:00,181.8829956,362.7099915,24.11000244,83.85945277,3.828838016,0.0002592
2015-05-30 10:00:00,206.9669952,370.9700012,26.67003784,81.42708375,3.824604483,0.0009792
2015-05-30 11:00:00,238.2929993,370.9599915,27.22001099,79.99913438,4.121371168,0
2015-05-30 12:00:00,259.7229919,370.9500122,28.8899939,78.54529727,4.437657071,0.0002592
2015-05-30 13:00:00,266.2550049,370.980011,28.32999756,77.17138912,4.778661039,0.001152
2015-05-30 14:00:00,238.2769928,370.980011,28.89002441,79.59760295,4.517875372,0.0073488
2015-05-30 15:00:00,204.7120056,370.9899902,28.89,82.01271919,4.288822555,0.0002592
2015-05-30 16:00:00,180.6569977,366.1300049,28.88999634,84.52503735,4.096828005,0.0002592
2015-05-30 17:00:00,118.7450027,366.1400146,28.33004761,86.62848677,3.841054457,0
2015-05-30 18:00:00,54.25600052,366.1499939,27.22000732,88.7864939,3.684087498,0
2015-05-30 19:00:00,0,341.9899902,25.56000732,90.94767189,3.618093476,0
2015-05-30 20:00:00,0,342,25.00000488,91.451965,3.085854814,0
2015-05-30 21:00:00,0,342.0100098,22.22001221,91.76338244,2.65836408,0
2015-05-30 22:00:00,0,335.9599915,20.56000977,91.98969351,2.378003314,0.0003264
2015-05-30 23:00:00,0,335.9599915,18.8900354,92.13917639,2.127275208,0
2015-05-31 00:00:00,0,335.9700012,18.33,92.23944327,1.898973385,0
2015-05-31 01:00:00,0,338.1499939,17.219995117,92.29390941,1.678392061,0.0000096
2015-05-31 02:00:00,0,338.1499939,17.760031738,91.07718219,1.720377912,0.000768
2015-05-31 03:00:00,0,338.1499939,16.669997559,89.93830623,1.785077021,0
2015-05-31 04:00:00,0,351.8399963,17.220003662,88.74326389,1.880904099,0
2015-05-31 05:00:00,0,351.8399963,19.440025635,90.62810271,1.806239236,0
2015-05-31 06:00:00,4.967999935,351.8500061,22.220007324,92.61407784,1.73046241,0.0122784
2015-05-31 07:00:00,37.43199921,352.3200073,24.440029297,94.58939897,1.669730512,0.012643199
2015-05-31 08:00:00,67.77600098,352.3200073,26.669998779,93.25661076,1.718429533,0.019584
2015-05-31 09:00:00,101.7419968,352.3099976,27.779998779,91.94337199,1.780589824,0.017808
