time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OXY_oxy
2015-07-23,0.014133333,8.865,0,16.05955021,0.126728111,0.253701739,187.9386226,2.2278125
2015-07-24,0.014133333,13.36,0,16.09122585,0.131336406,0.262927257,195.0755323,316.265625
2015-07-25,0.014133333,13.41,0,16.12290149,0.1359447,0.272152775,202.212442,307.996875
2015-07-26,0.014133333,13.46,0,16.15457713,0.140552995,0.281378292,209.3493517,299.728125
2015-07-27,0.014133333,13.51,0,16.18625277,0.14516129,0.29060381,216.4862614,291.459375
2015-07-28,0.014133333,12.04566667,0,17.07317073,0.14516129,0.29060381,215.2967765,194.9720833
2015-07-29,0.014133333,10.58133333,0,17.96008869,0.14516129,0.29060381,214.1072915,98.48479167
2015-07-30,0.014133333,9.117,0,18.84700665,0.14516129,0.29060381,212.9178066,1.9975
2015-07-31,0.014133333,13.565,0,19.73392461,0.14516129,0.29060381,211.7283216,261.0085938
2015-08-01,0.014133333,13.58,0,20.62084257,0.14516129,0.29060381,210.5388367,257.7109375
2015-08-02,0.014133333,13.595,0,21.50776053,0.14516129,0.29060381,209.3493517,254.4132813
2015-08-03,0.014133333,13.61,0,22.39467849,0.14516129,0.29060381,208.1598668,251.115625
2015-08-04,0.014133333,13.616,0,23.57459614,0.152073733,0.304442087,205.7808969,247.008125
2015-08-05,0.014133333,13.622,0,24.75451378,0.158986175,0.318280363,203.401927,242.900625
2015-08-06,0.014133333,13.628,0,25.93443142,0.165898618,0.33211864,201.0229571,238.793125
2015-08-07,0.014133333,13.634,0,27.11434907,0.17281106,0.345956917,198.6439872,234.685625
2015-08-08,0.014133333,13.64,0,28.29426671,0.179723502,0.359795194,196.2650172,230.578125
2015-08-09,0.014133333,13.65782609,0,29.47418435,0.186635945,0.37363347,193.8860473,233.3967391
2015-08-10,0.014133333,13.67565217,0,30.654102,0.193548387,0.387471747,191.5070774,236.2153533
2015-08-11,0.014133333,13.69347826,0,29.87804878,0.19124424,0.382858988,190.3175925,239.0339674
2015-08-12,0.014133333,13.71130435,0,29.10199557,0.188940092,0.378246229,189.1281075,241.8525815
2015-08-13,0.014133333,13.72913043,0,28.32594235,0.186635945,0.37363347,187.9386226,244.6711957
2015-08-14,0.014133333,13.74695652,0,27.54988914,0.184331797,0.369020711,186.7491376,247.4898098
2015-08-15,0.014133333,13.76478261,0,26.77383592,0.18202765,0.364407952,185.5596527,250.3084239
2015-08-16,0.014133333,13.7826087,0,25.99778271,0.179723502,0.359795194,184.3701677,253.127038
2015-08-17,0.014133333,13.80043478,0,25.22172949,0.177419355,0.355182435,183.1806828,255.9456522
2015-08-18,0.014133333,13.81826087,0,24.44567627,0.175115207,0.350569676,184.3701677,258.7642663
2015-08-19,0.014133333,13.83608696,0,23.66962306,0.17281106,0.345956917,185.5596527,261.5828804
2015-08-20,0.014133333,13.85391304,0,22.89356984,0.170506912,0.341344158,186.7491376,264.4014946
2015-08-21,0.014133333,13.87173913,0,22.11751663,0.168202765,0.336731399,187.9386226,267.2201087
2015-08-22,0.014133333,13.88956522,0,21.34146341,0.165898618,0.33211864,189.1281075,270.0387228
2015-08-23,0.014133333,13.9073913,0,20.5654102,0.16359447,0.327505881,190.3175925,272.857337
2015-08-24,0.014133333,13.92521739,0,19.78935698,0.161290323,0.322893122,191.5070774,275.6759511
2015-08-25,0.014133333,13.94304348,0,23.97846056,0.184331797,0.369020711,192.6965624,278.4945652
2015-08-26,0.014133333,13.96086957,0,28.16756414,0.207373272,0.4151483,193.8860473,281.3131793
2015-08-27,0.014133333,13.97869565,0,32.35666772,0.230414747,0.461275889,195.0755323,284.1317935
2015-08-28,0.014133333,13.99652174,0,36.5457713,0.253456221,0.507403478,196.2650172,286.9504076
2015-08-29,0.014133333,14.01434783,0,40.73487488,0.276497696,0.553531067,197.4545022,289.7690217
2015-08-30,0.014133333,14.03217391,0,44.92397846,0.299539171,0.599658656,198.6439872,292.5876359
2015-08-31,0.014133333,14.05,0,49.11308204,0.322580645,0.645786245,199.8334721,295.40625
2015-09-01,0.014133333,13.11325,0,48.11529933,0.347926267,0.696526593,201.0229571,222.0763281
2015-09-02,0.014133333,12.1765,0,47.11751663,0.373271889,0.74726694,202.212442,148.7464063
2015-09-03,0.014133333,11.23975,0,46.11973392,0.398617512,0.798007288,203.401927,75.41648438
2015-09-04,0.014133333,10.303,0,45.12195122,0.423963134,0.848747636,204.5914119,2.0865625
2015-09-05,0.014133333,11.612,0,44.12416851,0.449308756,0.899487984,205.7808969,103.3670833
2015-09-06,0.014133333,12.921,0,43.12638581,0.474654378,0.950228332,206.9703818,204.6476042
2015-09-07,0.014133333,14.23,0,42.1286031,0.5,1.000968679,208.1598668,305.928125
2015-09-08,0.014133333,14.25,0,43.53816915,0.476958525,0.95484109,205.7808969,307.2241071
2015-09-09,0.014133333,14.27,0,44.94773519,0.453917051,0.908713502,203.401927,308.5200893
2015-09-10,0.014133333,14.29,0,46.35730124,0.430875576,0.862585913,201.0229571,309.8160714
2015-09-11,0.014133333,14.31,0,47.76686728,0.407834101,0.816458324,198.6439872,311.1120536
