time,ShortWave,LongWave,AirTemp,RelHum,Wind,Rain
2016-07-03 18:00,169.802002,415.3299866,24.11000977,87.25250004,1.743932447,0
2016-07-03 19:00,55.2159996,380.7000122,23.99001465,89.10221942,1.891877406,0
2016-07-03 20:00,0,380.730011,22.36998901,92.74854892,1.974968502,0
2016-07-03 21:00,0,380.7600098,20.74001465,96.36624381,2.219999919,0
2016-07-03 22:00,0,377.8599854,19.11000977,99.82957825,2.581259375,0
2016-07-03 23:00,0,377.8699951,18.89998779,100,2.46465018,0
2016-07-04 00:00,0,377.8699951,18.67998657,100,2.353083088,0
2016-07-04 01:00,0,393.6600037,18.46999512,100,2.236470386,0.001824
2016-07-04 02:00,0,393.6600037,18.6300293,100,2.289737925,0.028819199
2016-07-04 03:00,0,393.6499939,18.80001221,100,2.358474136,0.013632
2016-07-04 04:00,0,398.3900146,18.97002563,100,2.431892229,0.0200448
2016-07-04 05:00,0,398.3900146,19.17998657,99.16392027,2.798517364,0.0110208
2016-07-04 06:00,57.20800018,398.3800049,19.39998779,97.0474013,3.181352027,0.0130368
2016-07-04 07:00,136.9440002,403.3200073,19.61998901,94.97080365,3.559831527,0.034751999
2016-07-04 08:00,214.223999,403.2999878,20.36998901,94.48390942,3.664000628,0.0190272
2016-07-04 09:00,298.4110107,403.2799988,21.12005005,93.86594341,3.875874107,0.0024
2016-07-04 10:00,426.5549927,411.2900085,21.87999878,93.0779523,4.187242638,0.0063168
2016-07-04 11:00,484.1650085,411.269989,22.71999512,92.29070823,3.86194262,0.022444799
2016-07-04 12:00,504.0329895,411.25,23.56005249,91.37607262,3.61072025,0.090374399
2016-07-04 13:00,759.5369873,423.2799988,24.39998779,90.35099024,3.428118916,0
2016-07-04 14:00,725.8670044,423.25,25.93999634,86.05043509,3.702175094,0
2016-07-04 15:00,641.1110229,423.2200012,27.49004517,81.84168489,4.020795922,0
2016-07-04 16:00,533.4420166,434.7399902,29.04000244,77.78926804,4.374254128,0.0005568
2016-07-04 17:00,367.4320068,434.75,28.49001465,81.28673505,4.18226023,0.00144
2016-07-04 18:00,230.0480042,434.75,27.94002686,84.9395275,3.984068292,0.0796224
2016-07-04 19:00,62.59199905,412.7999878,27.3800293,88.80652278,3.790211038,0.003456
2016-07-04 20:00,0,412.8099976,26.73000488,90.81086108,3.900461606,0.0103968
